               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.010885,           0.0088137,           0.0017716,             0.99458,             0.99384,               0.995,             0.90215,           0.0068763,           0.0060348,          0.00030446,            0.001486,            0.001486,            0.001486
                  88,            0.010776,           0.0087672,            0.001841,             0.98242,             0.99252,             0.99433,             0.92078,             0.00637,           0.0056972,          0.00047704,            0.001387,            0.001387,            0.001387
                  89,            0.010618,           0.0089044,           0.0017501,             0.98463,             0.99351,             0.99433,             0.91584,           0.0063979,           0.0057268,          0.00034824,            0.001288,            0.001288,            0.001288
                  90,            0.010949,           0.0090572,           0.0019124,             0.98269,             0.99032,             0.99407,             0.91807,            0.006593,           0.0058466,          0.00050016,            0.001189,            0.001189,            0.001189
                  91,            0.010871,           0.0085749,            0.001926,             0.98429,             0.99296,             0.99433,              0.9164,           0.0065953,           0.0058356,          0.00042363,             0.00109,             0.00109,             0.00109
                  92,            0.010898,           0.0086703,           0.0017066,             0.98378,              0.9917,             0.99433,             0.91907,           0.0064626,           0.0057804,          0.00054078,            0.000991,            0.000991,            0.000991
                  93,            0.010866,           0.0088157,           0.0020513,             0.98111,              0.9924,             0.99433,             0.92312,           0.0064127,           0.0057252,          0.00055277,            0.000892,            0.000892,            0.000892
                  94,            0.010877,           0.0089487,           0.0019758,             0.98263,             0.99292,             0.99433,             0.91021,           0.0068921,            0.005995,           0.0004281,            0.000793,            0.000793,            0.000793
                  95,            0.010635,           0.0088016,           0.0019238,             0.98264,             0.99293,             0.99433,             0.91737,           0.0064225,            0.005656,          0.00039921,            0.000694,            0.000694,            0.000694
                  96,            0.010549,            0.008499,            0.001921,             0.98146,             0.99297,             0.99433,             0.92202,           0.0063339,           0.0056653,           0.0004033,            0.000595,            0.000595,            0.000595
                  97,            0.010514,           0.0090469,           0.0018472,             0.98234,             0.99497,             0.99433,             0.92255,            0.006278,           0.0056471,          0.00036304,            0.000496,            0.000496,            0.000496
                  98,            0.010205,           0.0085884,           0.0014836,             0.98304,             0.99321,             0.99433,             0.91551,           0.0064298,           0.0057908,           0.0004931,            0.000397,            0.000397,            0.000397
                  99,            0.010516,           0.0088746,           0.0017011,              0.9827,             0.99268,             0.99433,             0.92216,           0.0062639,           0.0057187,          0.00047706,            0.000298,            0.000298,            0.000298
